timestamp_sec,module_id,range_m,self_range_error
146.741648,102.0,15.718,0.055
146.762675,103.0,11.848,0.055
146.7837,100.0,10.37,0.024
146.804803,101.0,3.292,0.055
146.825868,102.0,15.729,0.024
146.846927,103.0,11.841,0.055
146.867972,100.0,10.381,0.055
146.889005,101.0,3.33,0.024
146.91004,102.0,15.724,0.055
146.931046,103.0,11.846,0.055
146.953704,100.0,10.385,0.024
146.974712,101.0,3.351,0.055
146.995758,102.0,15.72,0.055
147.017694,103.0,11.838,0.055
147.038721,100.0,10.379,0.024
147.05977,101.0,3.397,0.024
147.081515,102.0,15.705,0.024
147.102544,103.0,11.855,0.055
147.123571,100.0,10.385,0.055
147.145062,101.0,3.441,0.024
147.16607,102.0,15.694,0.055
147.18707,103.0,11.846,0.055
147.208095,100.0,10.384,0.055
147.229117,101.0,3.464,0.055
147.250151,102.0,15.695,0.055
147.271197,103.0,11.854,0.055
147.292223,100.0,10.378,0.055
147.313246,101.0,3.493,0.024
147.346802,103.0,11.854,0.055
147.369863,100.0,10.389,0.055
147.403474,102.0,15.682,0.055
147.424519,103.0,11.84,0.055
147.445559,100.0,10.395,0.055
147.46661,101.0,3.548,0.055
147.48767,102.0,15.672,0.055
147.508724,103.0,11.837,0.055
147.530168,100.0,10.396,0.024
147.551251,101.0,3.576,0.024
147.572294,102.0,15.671,0.055
147.593322,103.0,11.848,0.024
147.614354,100.0,10.418,0.055
147.635362,101.0,3.585,0.055
147.658096,102.0,15.667,0.024
147.679141,103.0,11.822,0.055
147.700173,100.0,10.434,0.055
147.721302,101.0,3.602,0.055
147.742336,102.0,15.718,0.055
147.76334,103.0,11.838,0.055
147.785626,100.0,10.456,0.055
147.806664,101.0,3.598,0.055
147.827675,102.0,15.687,0.055
147.849431,103.0,11.817,0.055
147.870468,100.0,10.469,0.055
147.891517,101.0,3.554,0.055
147.91443,102.0,15.688,0.055
147.935462,103.0,11.821,0.024
147.956497,100.0,10.482,0.055
147.977522,101.0,3.587,0.055
147.998549,102.0,15.697,0.055
148.019594,103.0,11.805,0.055
148.040628,100.0,10.515,0.055
148.061977,101.0,3.58,0.024
148.083006,102.0,15.703,0.055
148.105354,103.0,11.782,0.055
148.12637,100.0,10.519,0.024
148.147396,101.0,3.579,0.055
148.169756,102.0,15.715,0.055
148.190954,103.0,11.767,0.055
148.212005,100.0,10.522,0.055
148.233996,101.0,3.58,0.024
148.25623,102.0,15.707,0.055
148.277254,103.0,11.765,0.055
148.298277,100.0,10.553,0.024
148.319292,101.0,3.569,0.024
148.340272,102.0,15.698,0.055
148.361289,103.0,11.765,0.055
148.382297,100.0,10.549,0.024
148.403296,101.0,3.581,0.024
148.424325,102.0,15.691,0.055
148.44593,103.0,11.753,0.055
148.466952,100.0,10.553,0.024
148.491033,101.0,3.572,0.055
148.512053,102.0,15.679,0.055
148.53307,103.0,11.745,0.055
148.554101,100.0,10.554,0.055
148.575118,101.0,3.572,0.024
148.596178,102.0,15.683,0.055
148.617686,103.0,11.741,0.055
148.638704,100.0,10.534,0.055
148.659743,101.0,3.583,0.024
148.680796,102.0,15.646,0.024
148.70182,103.0,11.725,0.024
148.722844,100.0,10.522,0.024
148.745486,101.0,3.579,0.055
148.766509,102.0,15.652,0.055
148.787557,103.0,11.712,0.055
148.808577,100.0,10.521,0.055
148.829635,101.0,3.583,0.024
